Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - 3A-3B - course: (TUESDAY: 12:00 - 14:00, 'C403')
Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - 3E - course: (MONDAY: 14:00 - 16:00, 'C403')
Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - 3B1 - seminary: (MONDAY: 08:00 - 10:00, 'C403')
Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - 3B2 - seminary: (MONDAY: 10:00 - 12:00, 'C403')
Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - 3B3 - seminary: (MONDAY: 12:00 - 14:00, 'C403')
Programare în Python: Gavriluț Dragoș - 2A-2B - course: (MONDAY: 16:00 - 18:00, 'C403')
Programare în Python: Gavriluț Dragoș - 2E - course: (MONDAY: 18:00 - 20:00, 'C403')
Programare în Python: Gavriluț Dragoș - 2A1 - seminary: (TUESDAY: 08:00 - 10:00, 'C403')
Programare în Python: Gavriluț Dragoș - 2B2 - seminary: (TUESDAY: 10:00 - 12:00, 'C403')
Programare în Python: Gavriluț Dragoș - 2A3 - seminary: (WEDNESDAY: 08:00 - 10:00, 'C403')
Programare în Python: Gavriluț Dragoș - 2A4 - seminary: (WEDNESDAY: 10:00 - 12:00, 'C403')
Securitatea Informației: Țiplea Ferucio Laurențiu - 1A - course: (TUESDAY: 14:00 - 16:00, 'C403')
Securitatea Informației: Țiplea Ferucio Laurențiu - 1B - course: (WEDNESDAY: 12:00 - 14:00, 'C403')
