Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - A-B - course: (TUESDAY: 12:00 - 14:00, C405)
Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - E - course: (TUESDAY: 14:00 - 16:00, C405)
Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - B1 - seminary: (MONDAY: 08:00 - 10:00, C405)
Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - B2 - seminary: (MONDAY: 10:00 - 12:00, C405)
Animație 3D: algoritmi și tehnici fundamentale: Vitcu Anca - B3 - seminary: (MONDAY: 12:00 - 14:00, C405)
Programare în Python: Gavriluț Dragoș - A-B - course: (MONDAY: 14:00 - 16:00, C405)
Programare în Python: Gavriluț Dragoș - E - course: (MONDAY: 16:00 - 18:00, C405)
Programare în Python: Gavriluț Dragoș - A1 - seminary: (TUESDAY: 08:00 - 10:00, C405)
Programare în Python: Gavriluț Dragoș - B2 - seminary: (TUESDAY: 10:00 - 12:00, C405)
Programare în Python: Gavriluț Dragoș - A3 - seminary: (WEDNESDAY: 08:00 - 10:00, C405)
Programare în Python: Gavriluț Dragoș - A4 - seminary: (WEDNESDAY: 10:00 - 12:00, C405)
Securitatea Informației: Țiplea Ferucio Laurențiu - A - course: (MONDAY: 18:00 - 20:00, C405)
Securitatea Informației: Țiplea Ferucio Laurențiu - B - course: (TUESDAY: 16:00 - 18:00, C405)
