Animație 3D algoritmi și tehnici fundamentale: Vitcu Anca - 3A-3B - course: (TUESDAY: 12:00 - 14:00, 'C401')
Animație 3D algoritmi și tehnici fundamentale: Vitcu Anca - 3E - course: (MONDAY: 14:00 - 16:00, 'C401')
Animație 3D algoritmi și tehnici fundamentale: Vitcu Anca - 3B1 - seminary: (MONDAY: 08:00 - 10:00, 'C401')
Animație 3D algoritmi și tehnici fundamentale: Vitcu Anca - 3B2 - seminary: (MONDAY: 10:00 - 12:00, 'C401')
Animație 3D algoritmi și tehnici fundamentale: Vitcu Anca - 3B3 - seminary: (MONDAY: 12:00 - 14:00, 'C401')
Programare în Python: Gavriluț Dragoș - 2A-2B - course: (MONDAY: 16:00 - 18:00, 'C401')
Programare în Python: Gavriluț Dragoș - 2E - course: (MONDAY: 18:00 - 20:00, 'C401')
Programare în Python: Gavriluț Dragoș - 2A1 - seminary: (TUESDAY: 08:00 - 10:00, 'C401')
Programare în Python: Gavriluț Dragoș - 2B2 - seminary: (TUESDAY: 10:00 - 12:00, 'C401')
Programare în Python: Gavriluț Dragoș - 2A3 - seminary: (WEDNESDAY: 08:00 - 10:00, 'C401')
Programare în Python: Gavriluț Dragoș - 2A4 - seminary: (WEDNESDAY: 10:00 - 12:00, 'C401')
Securitatea Informației: Țiplea Ferucio Laurențiu - 1A - course: (TUESDAY: 14:00 - 16:00, 'C401')
Securitatea Informației: Țiplea Ferucio Laurențiu - 1B - course: (WEDNESDAY: 12:00 - 14:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1A - course: (TUESDAY: 16:00 - 18:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1B - course: (TUESDAY: 18:00 - 20:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1E - course: (WEDNESDAY: 14:00 - 16:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1A1 - course: (WEDNESDAY: 16:00 - 18:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1A2 - course: (WEDNESDAY: 18:00 - 20:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1A3 - course: (THURSDAY: 08:00 - 10:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1A4 - course: (THURSDAY: 10:00 - 12:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1B1 - course: (THURSDAY: 12:00 - 14:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1B2 - course: (THURSDAY: 14:00 - 16:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1B3 - course: (THURSDAY: 16:00 - 18:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1B4 - course: (THURSDAY: 18:00 - 20:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1E1 - course: (FRIDAY: 08:00 - 10:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1E2 - course: (FRIDAY: 10:00 - 12:00, 'C401')
Practica pedagogică în învățământul preuniversitar obligatoriu I: Grătie Diana Elena - 1E3 - course: (FRIDAY: 12:00 - 14:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1A - course: (FRIDAY: 14:00 - 16:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1B - course: (FRIDAY: 16:00 - 18:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1E - course: (FRIDAY: 18:00 - 20:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1A1 - course: (SATURDAY: 08:00 - 10:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1A2 - course: (SATURDAY: 10:00 - 12:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1A3 - course: (SATURDAY: 12:00 - 14:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1A4 - course: (SATURDAY: 14:00 - 16:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1B1 - course: (SATURDAY: 16:00 - 18:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1B2 - course: (SATURDAY: 18:00 - 20:00, 'C401')
Inteligență Artificială: Pistol Ionuț Cristian - 1B3 - course: (MONDAY: 08:00 - 10:00, 'C411')
Inteligență Artificială: Pistol Ionuț Cristian - 1B4 - course: (MONDAY: 10:00 - 12:00, 'C411')
Inteligență Artificială: Pistol Ionuț Cristian - 1E1 - course: (MONDAY: 12:00 - 14:00, 'C411')
Inteligență Artificială: Pistol Ionuț Cristian - 1E2 - course: (MONDAY: 14:00 - 16:00, 'C411')
Inteligență Artificială: Pistol Ionuț Cristian - 1E3 - course: (MONDAY: 16:00 - 18:00, 'C411')
